AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
1,34,0.04,35,9,886,906,925
2,87,0.1,87,9,886,906,925
3,157,0.19,174,9,886,906,925
4,393,0.44,425,9,886,906,925
5,559,0.66,623,9,886,906,925
6,673,0.81,754,9,886,906,925
7,778,0.92,894,9,886,906,925
8,842,0.98,912,9,886,906,925
9,886,1,925,9,886,906,925
