AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.666666667,4215,0.164944707,1350,3.966666667,18990,18990,8010
1.6,11490,0.646420557,6045,3.966666667,18990,18990,8010
3.966666667,18990,1,8010,3.966666667,18990,18990,8010
