AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
2.333333333,2925,0.04955243,2325,5.6,46020,46020,32805
3.5,23895,0.348996164,10845,5.6,46020,46020,32805
4.433333333,45270,0.905035168,27210,5.6,46020,46020,32805
5.6,46020,1,32805,5.6,46020,46020,32805
